x_value,y_value,z_value
-inf,-inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
-inf,inf,1.0
219.79926827334927,564.3863805363494,1.0
239.5952787308268,541.1491649027956,1.0
259.17723346312636,505.2299063886578,1.0
271.6892714035978,490.85542939526704,1.0
282.1940372038277,480.7869741849622,1.0
291.13118057007637,480.5289667776643,1.0
299.99999999999994,480.2721834182739,1.0
306.37782644104044,429.82363963838554,0.5
312.76901812009805,429.6460166558208,0.5
319.20461108170826,429.46697157184167,0.5
325.7165274817902,429.28571420954364,0.5
332.33823102178144,429.1014550102074,0.5
339.099276060252,428.8930394599694,0.5
346.0495966490006,428.7000008826615,0.5
353.22686532118144,428.5010201410024,0.5
360.6789609930788,428.29488386048837,0.5
368.46030860060915,428.08022882223315,0.5
369.21867451503886,415.48438157243413,0.5
375.9209027273872,413.6236605285738,0.5
382.84351351143084,411.7015472149926,0.5
390.03274040422014,409.70521160088924,0.5
400.14620928765726,410.4943146631505,0.5
402.7579177818578,402.7579177818578,0.5
405.2472452040923,395.39054273779306,0.5
407.63383749285913,388.33280760588815,0.5
409.93477958032923,381.533189330047,0.5
412.16507831201943,374.9463092486366,0.5
414.38170964321534,368.55775839524654,0.5
416.51052541305506,362.2761732887556,0.5
418.6054417377686,356.09619617099474,0.5
420.6769752634998,349.98603982030414,0.5
